TIPO;ESPESOR;DIAMETRO;PULGADA;UNIDAD;PRECIO AISLAMIENTO;PRECIO ALUMINIO
TAPA;32;18;"3/8""";Ud;0,65;0,00
TAPA;32;22;"1/2""";Ud;0,65;2,32
TAPA;32;28;"3/4""";Ud;0,65;2,32
TAPA;32;35;"1""";Ud;0,65;2,32
TAPA;32;42;"1""1/4";Ud;0,65;2,58
TAPA;32;48;"1""1/2";Ud;0,65;2,58
TAPA;32;60;"2""";Ud;0,65;2,58
TAPA;32;76;"2""1/2";Ud;0,65;2,58
TAPA;32;89;"3""";Ud;0,65;3,09
TAPA;32;114;"4""";Ud;1,08;3,35
TAPA;32;140;"5""";Ud;1,08;4,12
TAPA;32;170;"6""";Ud;1,08;4,12
TAPA;40;15;"1/4""";Ud;0,65;0,00
TAPA;40;18;"3/8""";Ud;0,65;0,00
TAPA;40;22;"1/2""";Ud;0,65;2,58
TAPA;40;28;"3/4""";Ud;0,65;2,58
TAPA;40;35;"1""";Ud;0,65;2,58
TAPA;40;42;"1""1/4";Ud;0,87;2,84
TAPA;40;48;"1""1/2";Ud;0,87;2,84
TAPA;40;60;"2""";Ud;1,08;2,84
TAPA;40;76;"2""1/2";Ud;1,08;2,84
TAPA;40;89;"3""";Ud;1,08;3,35
TAPA;40;114;"4""";Ud;1,30;3,61
TAPA;40;140;"5""";Ud;1,30;4,12
TAPA;40;170;"6""";Ud;1,30;4,64
TAPA;50;22;"1/2""";Ud;0,87;3,09
TAPA;50;28;"3/4""";Ud;0,87;3,09
TAPA;50;35;"1""";Ud;0,87;3,09
TAPA;50;42;"1""1/4";Ud;1,30;3,35
TAPA;50;48;"1""1/2";Ud;1,30;3,35
TAPA;50;60;"2""";Ud;1,63;3,35
TAPA;50;76;"2""1/2";Ud;1,95;3,35
TAPA;50;89;"3""";Ud;1,95;3,61
TAPA;50;114;"4""";Ud;2,06;4,12
TAPA;50;140;"5""";Ud;2,06;4,64
TAPA;50;170;"6""";Ud;2,06;4,64
TAPA;60;114;"4""";Ud;2,86;5,15
TAPA;60;140;"5""";Ud;3,10;5,15
TAPA;60;170;"6""";Ud;3,10;5,15
INJERTO;6;15;"1/4""";Ud;0,65;0,00
INJERTO;6;18;"3/8""";Ud;0,65;0,00
INJERTO;6;22;"1/2""";Ud;0,65;0,00
INJERTO;6;28;"3/4""";Ud;0,65;0,00
INJERTO;6;35;"1""";Ud;0,65;0,00
INJERTO;6;42;"1""1/4";Ud;0,65;0,00
INJERTO;9;15;"1/4""";Ud;0,65;0,00
INJERTO;9;18;"3/8""";Ud;0,65;0,00
INJERTO;9;22;"1/2""";Ud;0,65;0,00
INJERTO;9;28;"3/4""";Ud;0,65;0,00
INJERTO;9;35;"1""";Ud;0,65;0,00
INJERTO;9;42;"1""1/4";Ud;0,65;0,00
INJERTO;9;48;"1""1/2";Ud;0,65;0,00
INJERTO;9;60;"2""";Ud;0,65;0,00
INJERTO;9;76;"2""1/2";Ud;0,65;0,00
INJERTO;9;89;"3""";Ud;0,65;0,00
INJERTO;9;114;"4""";Ud;1,08;0,00
INJERTO;9;140;"5""";Ud;1,08;0,00
INJERTO;9;170;"6""";Ud;1,08;0,00
INJERTO;13;15;"1/4""";Ud;0,65;0,00
INJERTO;13;18;"3/8""";Ud;0,65;0,00
INJERTO;13;22;"1/2""";Ud;0,65;0,00
INJERTO;13;28;"3/4""";Ud;0,65;0,00
INJERTO;13;35;"1""";Ud;0,65;0,00
INJERTO;13;42;"1""1/4";Ud;0,65;0,00
INJERTO;13;48;"1""1/2";Ud;0,65;0,00
INJERTO;13;60;"2""";Ud;0,65;0,00
INJERTO;13;76;"2""1/2";Ud;0,65;0,00
INJERTO;13;89;"3""";Ud;0,65;0,00
INJERTO;13;114;"4""";Ud;0,65;0,00
INJERTO;13;140;"5""";Ud;1,08;0,00
INJERTO;13;170;"6""";Ud;1,08;0,00
INJERTO;19;15;"1/4""";Ud;0,65;0,00
INJERTO;19;18;"3/8""";Ud;0,65;0,00
INJERTO;19;22;"1/2""";Ud;0,65;0,00
INJERTO;19;28;"3/4""";Ud;0,65;0,00
INJERTO;19;35;"1""";Ud;0,65;0,00
INJERTO;19;42;"1""1/4";Ud;0,65;0,00
INJERTO;19;48;"1""1/2";Ud;0,65;0,00
INJERTO;19;60;"2""";Ud;0,65;0,00
INJERTO;19;76;"2""1/2";Ud;0,65;0,00
INJERTO;19;89;"3""";Ud;0,65;0,00
INJERTO;19;114;"4""";Ud;1,08;0,00
INJERTO;19;140;"5""";Ud;1,08;0,00
INJERTO;19;170;"6""";Ud;1,08;0,00
INJERTO;25;15;"1/4""";Ud;0,65;0,00
INJERTO;25;18;"3/8""";Ud;0,65;0,00
INJERTO;25;22;"1/2""";Ud;0,65;2,06
INJERTO;25;28;"3/4""";Ud;0,65;2,06
INJERTO;25;35;"1""";Ud;0,65;2,06
INJERTO;25;42;"1""1/4";Ud;0,65;2,32
